time	I(L1)
Step Information: Lin=10n  (Run: 1/7)
1.307218789348912e-004	1.003781e+001
1.310148476848912e-004	1.002002e+001
1.313078164348912e-004	1.000027e+001
1.316007851848912e-004	9.978875e+000
1.318937539348912e-004	9.956134e+000
1.321867226848912e-004	9.932375e+000
1.324796914348912e-004	9.907936e+000
1.327726601848912e-004	9.883158e+000
1.330656289348912e-004	9.858382e+000
1.333585976848911e-004	9.833946e+000
1.336515664348911e-004	9.810181e+000
1.339445351848911e-004	9.787401e+000
1.342375039348911e-004	9.765911e+000
1.345304726848911e-004	9.745991e+000
1.348234414348911e-004	9.727898e+000
1.351164101848911e-004	9.711863e+000
1.354093789348911e-004	9.698084e+000
1.357023476848911e-004	9.686729e+000
1.359953164348911e-004	9.677931e+000
1.362882851848911e-004	9.671783e+000
1.365812539348911e-004	9.668344e+000
1.368742226848911e-004	9.667635e+000
1.371671914348911e-004	9.669634e+000
1.374601601848911e-004	9.674288e+000
1.377531289348911e-004	9.681502e+000
1.380460976848911e-004	9.691152e+000
1.383390664348911e-004	9.703077e+000
1.386320351848911e-004	9.717091e+000
1.389250039348910e-004	9.732974e+000
1.392179726848910e-004	9.750490e+000
1.395109414348910e-004	9.769379e+000
1.398039101848910e-004	9.789366e+000
1.400968789348910e-004	9.810161e+000
1.403898476848910e-004	9.831470e+000
1.406828164348910e-004	9.852993e+000
1.409757851848910e-004	9.874432e+000
1.412687539348910e-004	9.895490e+000
1.415617226848910e-004	9.915881e+000
1.418546914348910e-004	9.935333e+000
1.421476601848910e-004	9.953586e+000
1.424406289348910e-004	9.970402e+000
1.427335976848910e-004	9.985565e+000
1.430265664348910e-004	9.998884e+000
1.433195351848910e-004	1.001020e+001
1.436125039348910e-004	1.001937e+001
1.439054726848910e-004	1.002629e+001
1.441984414348910e-004	1.003091e+001
1.444914101848910e-004	1.003317e+001
1.447843789348909e-004	1.003307e+001
1.450773476848909e-004	1.003065e+001
1.453703164348909e-004	1.002596e+001
1.456632851848909e-004	1.001908e+001
1.459562539348909e-004	1.001015e+001
1.462492226848909e-004	9.999299e+000
1.465421914348909e-004	9.986706e+000
1.468351601848909e-004	9.972563e+000
1.471281289348909e-004	9.957079e+000
1.474210976848909e-004	9.940483e+000
1.477140664348909e-004	9.923015e+000
1.480070351848909e-004	9.904924e+000
1.483000039348909e-004	9.886465e+000
1.485929726848909e-004	9.867894e+000
1.488859414348909e-004	9.849468e+000
1.491789101848909e-004	9.831437e+000
1.494718789348909e-004	9.814044e+000
1.497648476848909e-004	9.797520e+000
1.500578164348909e-004	9.782084e+000
1.503507851848908e-004	9.767935e+000
1.506437539348908e-004	9.755255e+000
1.509367226848908e-004	9.744203e+000
1.512296914348908e-004	9.734913e+000
1.515226601848908e-004	9.727495e+000
1.518156289348908e-004	9.722033e+000
1.521085976848908e-004	9.718580e+000
1.524015664348908e-004	9.717163e+000
1.526945351848908e-004	9.717781e+000
1.529875039348908e-004	9.720403e+000
1.532804726848908e-004	9.724972e+000
1.535734414348908e-004	9.731404e+000
1.538664101848908e-004	9.739592e+000
1.541593789348908e-004	9.749401e+000
1.544523476848908e-004	9.760682e+000
1.547453164348908e-004	9.773261e+000
1.550382851848908e-004	9.786952e+000
1.553312539348908e-004	9.801554e+000
1.556242226848908e-004	9.816854e+000
1.559171914348907e-004	9.832636e+000
1.562101601848907e-004	9.848675e+000
1.565031289348907e-004	9.864748e+000
1.567960976848907e-004	9.880633e+000
1.570890664348907e-004	9.896113e+000
1.573820351848907e-004	9.910978e+000
1.576750039348907e-004	9.925032e+000
1.579679726848907e-004	9.938087e+000
1.582609414348907e-004	9.949976e+000
1.585539101848907e-004	9.960548e+000
1.588468789348907e-004	9.969671e+000
1.591398476848907e-004	9.977236e+000
1.594328164348907e-004	9.983154e+000
1.597257851848907e-004	9.987365e+000
1.600187539348907e-004	9.989827e+000
1.603117226848907e-004	9.990527e+000
1.606046914348907e-004	9.989474e+000
1.608976601848907e-004	9.986703e+000
1.611906289348907e-004	9.982271e+000
1.614835976848907e-004	9.976257e+000
1.617765664348906e-004	9.968761e+000
1.620695351848906e-004	9.959904e+000
1.623625039348906e-004	9.949821e+000
1.626554726848906e-004	9.938665e+000
1.629484414348906e-004	9.926601e+000
1.632414101848906e-004	9.913807e+000
1.635343789348906e-004	9.900463e+000
1.638273476848906e-004	9.886761e+000
1.641203164348906e-004	9.872891e+000
1.644132851848906e-004	9.859047e+000
